generation,individual,sfc,reqps,cpu,avg_cpu,memory,avg_memory,link,latency,sfc_hosts,total_hosts,no_sfcs,ar
7,86,sfc1-3,80.825,0.06973577477037907,0.37341196183115244,0.07043880689889193,0.2613790789619088,5512.2649999999985,36.64890222923027,2,4,16,0.5
7,86,sfc1-4,80.825,0.06973577477037907,0.3391777134190003,0.07043880689889193,0.30709253375728923,5075.809999999999,35.631233306923946,3,4,16,0.5
7,86,sfc1-6,80.825,0.06973577477037907,0.3391777134190003,0.07043880689889193,0.30709253375728923,6853.96,102.39199890699334,3,4,16,0.5
7,86,sfc1-7,80.825,0.06973577477037907,0.3391777134190003,0.07043880689889193,0.30709253375728923,6853.96,87.55411743717384,3,4,16,0.5
7,86,sfc2-2,80.825,0.14285955019295216,0.2513074583063523,0.27196985948830843,0.25166087069859105,6967.115000000001,3.6341484094515293,3,4,16,0.5
7,87,sfc0-0,80.825,0.05069543793797493,0.20838944800198078,0.02518610004335642,0.18766557332128286,1050.7250000000001,46.87402673923442,1,3,11,0.34375
7,87,sfc0-1,80.825,0.05069543793797493,0.20838944800198078,0.02518610004335642,0.18766557332128286,1054.7662500000001,29.48198655646837,1,3,11,0.34375
7,87,sfc0-2,80.825,0.05069543793797493,0.274846451357007,0.02518610004335642,0.17536161746829748,2679.348749999999,55.21432891494414,2,3,11,0.34375
7,87,sfc0-3,80.825,0.05069543793797493,0.13673368655145168,0.02518610004335642,0.12487377971410751,1369.98375,1.817111721456694,2,3,11,0.34375
7,87,sfc0-4,80.825,0.05069543793797493,0.274846451357007,0.02518610004335642,0.17536161746829748,2679.348749999999,59.922967028221976,2,3,11,0.34375
7,87,sfc0-5,80.825,0.05069543793797493,0.274846451357007,0.02518610004335642,0.17536161746829748,2679.348749999999,33.72629671223268,2,3,11,0.34375
7,87,sfc0-6,80.825,0.05069543793797493,0.20319068990647793,0.02518610004335642,0.11256982386112213,2978.4012499999994,33.7833204683196,2,3,11,0.34375
7,87,sfc0-7,80.825,0.05069543793797493,0.20838944800198078,0.02518610004335642,0.18766557332128286,1054.7662500000001,20.2821773989916,1,3,11,0.34375
7,87,sfc1-0,80.825,0.06973577477037907,0.274846451357007,0.07043880689889193,0.17536161746829748,2052.9550000000004,24.357216368899316,2,3,11,0.34375
7,87,sfc1-1,80.825,0.06973577477037907,0.20319068990647793,0.07043880689889193,0.11256982386112213,1648.8300000000002,1.8531170293724937,2,3,11,0.34375
7,87,sfc1-2,80.825,0.06973577477037907,0.34130345471203327,0.07043880689889193,0.1630576616153121,1669.03625,34.319466159237805,1,3,11,0.34375
7,88,sfc0-0,80.825,0.05069543793797493,0.07864253595471382,0.02518610004335642,0.075327024795115,2667.225000000001,1.6958711596555174,2,7,8,0.25
7,88,sfc0-1,80.825,0.05069543793797493,0.0993324052542448,0.02518610004335642,0.07956325402483344,2327.76,1.6826904426066849,2,7,8,0.25
7,88,sfc0-2,80.825,0.05069543793797493,0.07864253595471382,0.02518610004335642,0.075327024795115,1842.8100000000004,1.5396241643700779,2,7,8,0.25
7,88,sfc0-3,80.825,0.05069543793797493,0.0993324052542448,0.02518610004335642,0.07956325402483344,2327.76,1.4989807860892395,2,7,8,0.25
7,88,sfc0-4,80.825,0.05069543793797493,0.05795266665518284,0.02518610004335642,0.07109079556539655,2731.8850000000007,1.5353918749588655,2,7,8,0.25
7,88,sfc0-5,80.825,0.05069543793797493,0.07864253595471382,0.02518610004335642,0.075327024795115,3208.7525,2.581188236541042,2,7,8,0.25
7,88,sfc0-6,80.825,0.05069543793797493,0.07864253595471382,0.02518610004335642,0.075327024795115,3637.1250000000005,2.6525220510238325,2,7,8,0.25
7,88,sfc0-7,80.825,0.05069543793797493,0.0993324052542448,0.02518610004335642,0.07956325402483344,2327.76,1.56889274222668,2,7,8,0.25
7,90,sfc0-0,80.825,0.05069543793797493,0.13528862316161394,0.02518610004335642,0.1718029691837728,2541.946250000001,10.378959303303292,2,4,13,0.40625
7,90,sfc0-1,80.825,0.05069543793797493,0.13528862316161394,0.02518610004335642,0.1718029691837728,2655.101250000001,8.305283788830137,2,4,13,0.40625
7,90,sfc0-2,80.825,0.05069543793797493,0.13528862316161394,0.02518610004335642,0.1718029691837728,2610.6475000000005,6.968554126191253,2,4,13,0.40625
7,90,sfc0-3,80.825,0.05069543793797493,0.21036453172564507,0.02518610004335642,0.09242612527062495,4400.921250000002,81.24263437044601,3,4,13,0.40625
7,90,sfc0-4,80.825,0.05069543793797493,0.31321787275373936,0.02518610004335642,0.13446077750995755,2744.00875,26.800982652819986,2,4,13,0.40625
7,90,sfc0-5,80.825,0.05069543793797493,0.31321787275373936,0.02518610004335642,0.13446077750995755,3625.0012500000007,112.46788681743992,2,4,13,0.40625
7,90,sfc0-6,80.825,0.05069543793797493,0.31321787275373936,0.02518610004335642,0.13446077750995755,3625.0012500000007,25.769368946225487,2,4,13,0.40625
7,90,sfc0-7,80.825,0.05069543793797493,0.4790072813630104,0.02518610004335642,0.2017200756818056,1830.6862499999997,182.0261124685819,1,4,13,0.40625
7,90,sfc1-0,80.825,0.06973577477037907,0.301078031770885,0.07043880689889193,0.23906226735562086,2218.6462500000002,15.769411166778282,2,4,13,0.40625
7,90,sfc1-1,80.825,0.06973577477037907,0.301078031770885,0.07043880689889193,0.23906226735562086,2218.6462500000002,17.233786662420385,2,4,13,0.40625
7,90,sfc1-2,80.825,0.06973577477037907,0.301078031770885,0.07043880689889193,0.23906226735562086,2218.6462500000002,12.839670509054287,2,4,13,0.40625
7,90,sfc1-3,80.825,0.06973577477037907,0.301078031770885,0.07043880689889193,0.23906226735562086,2218.6462500000002,13.148462986901093,2,4,13,0.40625
7,90,sfc1-4,80.825,0.06973577477037907,0.301078031770885,0.07043880689889193,0.23906226735562086,2218.6462500000002,17.683676676308544,2,4,13,0.40625
7,91,sfc0-0,80.825,0.05069543793797493,0.12022674363106489,0.02518610004335642,0.08971219509840012,1446.7675,9.97420062933064,2,4,9,0.28125
7,91,sfc0-1,80.825,0.05069543793797493,0.08170377897719543,0.02518610004335642,0.06259373699625333,1766.02625,8.765295976295258,3,4,9,0.28125
7,91,sfc0-2,80.825,0.05069543793797493,0.12022674363106489,0.02518610004335642,0.08971219509840012,2259.0587499999997,8.976073266355133,2,4,9,0.28125
7,91,sfc0-3,80.825,0.05069543793797493,0.21415592171251774,0.02518610004335642,0.0882669878192246,2178.2337499999994,11.126604876126867,2,4,9,0.28125
7,91,sfc0-4,80.825,0.05069543793797493,0.21415592171251774,0.02518610004335642,0.0882669878192246,2170.15125,8.66202234411862,2,4,9,0.28125
7,91,sfc0-5,80.825,0.05069543793797493,0.21415592171251774,0.02518610004335642,0.0882669878192246,1863.0162500000001,6.744019626880654,2,4,9,0.28125
7,91,sfc0-6,80.825,0.05069543793797493,0.23018794134259224,0.02518610004335642,0.08414639625698328,957.7762500000001,11.815942824907967,1,4,9,0.28125
7,91,sfc0-7,80.825,0.05069543793797493,0.19812390208244324,0.02518610004335642,0.09238757938146591,1353.8187499999997,9.791039920927078,1,4,9,0.28125
7,91,sfc1-0,80.825,0.06973577477037907,0.1362587632611394,0.07043880689889193,0.0855916035361588,913.3225,2.7503668571428586,2,4,9,0.28125
7,93,sfc0-0,80.825,0.05069543793797493,0.10399025492370129,0.02518610004335642,0.0879200748167932,2432.8325,1.8178284539124678,2,4,9,0.28125
7,93,sfc0-1,80.825,0.05069543793797493,0.07213068474084139,0.02518610004335642,0.10207396978512406,1462.9325000000001,1.5865591411103757,2,4,9,0.28125
7,93,sfc0-2,80.825,0.05069543793797493,0.10399025492370129,0.02518610004335642,0.0879200748167932,2141.8625,1.7058290246371908,2,4,9,0.28125
7,93,sfc0-3,80.825,0.05069543793797493,0.14536999352276325,0.02518610004335642,0.0963925332762301,2925.865,2.8425562720836113,2,4,9,0.28125
7,93,sfc0-4,80.825,0.05069543793797493,0.14536999352276325,0.02518610004335642,0.0963925332762301,3152.1749999999997,2.9085014387755113,2,4,9,0.28125
7,93,sfc0-5,80.825,0.05069543793797493,0.14536999352276325,0.02518610004335642,0.0963925332762301,2319.6774999999993,2.7648371539495815,2,4,9,0.28125
7,93,sfc0-6,80.825,0.05069543793797493,0.14536999352276325,0.02518610004335642,0.0963925332762301,2319.6774999999993,2.785043850520655,2,4,9,0.28125
7,93,sfc0-7,80.825,0.05069543793797493,0.10399025492370129,0.02518610004335642,0.0879200748167932,1495.2625,1.7571874792225144,2,4,9,0.28125
7,93,sfc1-0,80.825,0.06973577477037907,0.11705335415899754,0.07043880689889193,0.0821700772891442,2174.1925,1.5603578778371157,3,4,9,0.28125
