sfc, reqps, cpu, memory, link, latency
sfc0-3,31,0.9305248223245144,1.3222768111154437,0.496,495.90355174522307
sfc0-4,27,0.8225178811699152,1.3172674062661827,0.37800000000000006,470.5512446764705
sfc0-5,16,0.5254990234971046,1.3040515803731978,0.256,598.5186580864198
sfc1-0,35,1.2601320492103696,3.805226217955351,0.56,358.09648200574696
sfc1-1,19,0.6065042037516832,3.781362157315016,0.456,606.9554111443296
sfc1-2,23,0.7199101243168116,3.7873281724750996,0.36800000000000005,718.9131590442477
sfc1-3,35,1.2601320492103696,3.805226217955351,0.56,375.3066727803468
sfc2-1,23,2.374852569773793,14.582894686609507,3.818,531.4910762307691
sfc0-0,32,0.957526583224535,1.3240892766043544,0.768,671.9768452625004
sfc0-1,22,0.6875093840062618,1.311565674841404,0.35200000000000004,626.6384765714289
sfc0-2,17,0.552500681951642,1.3047439069487154,0.272,656.3725203975905
sfc0-3,29,0.8765214029699564,1.3197721214964986,0.4640000000000001,758.6196852569444
sfc0-4,25,0.7685145642608404,1.3147627166472375,0.35000000000000003,771.6069121300817
sfc0-5,12,0.41749197989702225,1.2990421755239367,0.19200000000000003,1250.4886421774197
sfc1-0,33,1.170095019042492,3.802243056707084,0.528,774.1854139698798
sfc1-1,16,0.5254990234971046,3.7774475873447955,0.384,527.3020963375
sfc1-2,23,0.7199101243168116,3.7873281724750996,0.36800000000000005,1112.024005176991
sfc1-3,33,1.170095019042492,3.802243056707084,0.528,615.7911988170738
sfc2-1,22,2.301520351320505,14.57697108387947,3.6519999999999992,712.7417248090907
sfc0-0,30,0.9035230614244938,1.321584484539926,0.72,573.2847251283785
sfc0-1,24,0.7415127009153366,1.3140703900717199,0.38400000000000006,885.4087940588236
sfc0-2,18,0.5795023404061794,1.306556269992143,0.28800000000000003,948.0808919545456
sfc0-3,29,0.8765214029699564,1.3197721214964986,0.4640000000000001,607.2403226530615
sfc0-4,28,0.849519744515419,1.319079794920981,0.39200000000000007,874.4267955390071
sfc0-5,13,0.44449384324252605,1.2997345020994544,0.20800000000000005,1119.9387076417909
sfc1-0,33,1.170095019042492,3.802243056707084,0.528,775.2225839018405
sfc1-1,18,0.5795023404061794,3.7804306973703206,0.432,637.8391827191011
sfc1-2,33,1.170095019042492,3.802243056707084,0.528,673.3914233231704
sfc1-3,34,1.2151135597378016,3.804294732399285,0.544,840.4148068934905
sfc2-1,23,2.374852569773793,14.582894686609507,3.818,685.6004004385965
sfc0-0,27,0.8225178811699152,1.3172674062661827,0.648,493.7934330514705
sfc0-1,27,0.8225178811699152,1.3172674062661827,0.4320000000000001,484.52317827007306
sfc0-2,18,0.5795023404061794,1.306556269992143,0.28800000000000003,1482.4650963260874
sfc0-3,30,0.9035230614244938,1.321584484539926,0.48,668.23114507947
sfc0-4,24,0.7415127009153366,1.3140703900717199,0.336,536.5857559669421
sfc0-5,14,0.47149550169706345,1.3015468651428819,0.22400000000000006,986.2260072714286
sfc1-0,21,0.660507520660758,3.7843450624495745,0.3360000000000001,742.7289699523807
sfc1-1,15,0.49849716015160084,3.775396116543561,0.36,359.40980633766236
sfc1-2,32,1.125076632015407,3.8013116223737597,0.512,620.2766219622645
sfc1-3,32,1.125076632015407,3.8013116223737597,0.512,790.1167026273296
sfc2-1,27,2.718652542680502,14.608826737385243,4.482,914.6097014338235
sfc0-0,28,0.849519744515419,1.319079794920981,0.672,784.8709636231885
sfc0-1,27,0.8225178811699152,1.3172674062661827,0.4320000000000001,1298.452993229629
sfc0-2,24,0.7415127009153366,1.3140703900717199,0.38400000000000006,1372.5709442583332
sfc0-3,30,0.9035230614244938,1.321584484539926,0.48,570.9867914228189
sfc0-4,34,1.011530002579093,1.3265939662232995,0.476,927.130454502958
sfc0-5,20,0.6335058622062206,1.3090609852224588,0.32000000000000006,1169.8462706000003
sfc1-0,25,0.8099472057074308,3.790311103221029,0.4000000000000001,608.462293168
sfc1-1,17,0.552500681951642,3.77837902167812,0.408,1064.6782789080455
sfc1-2,31,1.0800580400973558,3.7992600491270423,0.496,509.963311554839
sfc1-3,33,1.170095019042492,3.802243056707084,0.528,554.871505301205
sfc2-1,27,2.718652542680502,14.608826737385243,4.482,554.9057072105263
sfc0-0,31,0.9305248223245144,1.3222768111154437,0.744,1032.3232437770694
sfc0-1,24,0.7415127009153366,1.3140703900717199,0.38400000000000006,1451.4353481583337
sfc0-2,23,0.7145110424607992,1.3122580014169216,0.36800000000000005,1004.8344291794871
sfc0-3,29,0.8765214029699564,1.3197721214964986,0.4640000000000001,705.6641716506842
sfc0-4,29,0.8765214029699564,1.3197721214964986,0.406,894.4967681999995
sfc0-5,19,0.6065042037516832,1.3072486221790314,0.30400000000000005,451.308856557895
sfc1-0,35,1.2601320492103696,3.805226217955351,0.56,1421.7328442799994
sfc1-1,19,0.6065042037516832,3.781362157315016,0.456,441.1220765578948
sfc1-2,32,1.125076632015407,3.8013116223737597,0.512,830.7769063773584
sfc1-3,37,1.3501690281555057,3.8082091230899096,0.5920000000000001,2014.4411112918913
sfc2-1,24,2.460802486166358,14.589938146527857,3.984,788.0029661833335
sfc0-0,25,0.7685145642608404,1.3147627166472375,0.6000000000000001,861.918693579365
sfc0-1,21,0.660507520660758,1.3097533117979765,0.3360000000000001,642.3701680943395
sfc0-2,19,0.6065042037516832,1.3072486221790314,0.30400000000000005,902.6882880212768
sfc0-3,23,0.7145110424607992,1.3122580014169216,0.36800000000000005,1026.1547888230089
sfc0-4,22,0.6875093840062618,1.311565674841404,0.30800000000000005,639.7805288636364
sfc0-5,17,0.552500681951642,1.3047439069487154,0.272,1395.1643517209297
sfc1-0,27,0.8999839797616005,3.7932940083555877,0.4320000000000001,1143.2770198888893
sfc1-1,17,0.552500681951642,3.77837902167812,0.408,1092.5116321547616
sfc1-2,24,0.764928562566638,3.7893796688877046,0.38400000000000006,624.7640360593222
sfc1-3,27,0.8999839797616005,3.7932940083555877,0.4320000000000001,1592.660160147059
sfc2-1,20,2.1656538732349873,14.564005071297288,3.3200000000000003,622.31380266
sfc0-0,26,0.7955162227153778,1.316575079690665,0.6240000000000001,926.6438243863636
sfc0-1,25,0.7685145642608404,1.3147627166472375,0.4000000000000001,737.4019865284549
sfc0-2,25,0.7685145642608404,1.3147627166472375,0.4000000000000001,2233.9251818373987
sfc0-3,27,0.8225178811699152,1.3172674062661827,0.4320000000000001,877.532614641791
sfc0-4,24,0.7415127009153366,1.3140703900717199,0.336,1462.84971109322
sfc0-5,21,0.660507520660758,1.3097533117979765,0.3360000000000001,1162.813127168225
sfc1-0,31,1.0800580400973558,3.7992600491270423,0.496,1857.1485490980378
sfc1-1,17,0.552500681951642,3.77837902167812,0.408,1722.8102850000007
sfc1-2,30,1.0350395506247878,3.798328614793718,0.48,734.489360885135
sfc1-3,31,1.0800580400973558,3.7992600491270423,0.496,2441.2344387254902
sfc2-1,24,2.460802486166358,14.589938146527857,3.984,1184.9468553666666
sfc0-0,29,0.8765214029699564,1.3197721214964986,0.696,1816.2142100833325
sfc0-1,28,0.849519744515419,1.319079794920981,0.4480000000000001,1372.1070330571424
sfc0-2,26,0.7955162227153778,1.316575079690665,0.4160000000000001,1238.0678888307696
sfc0-3,32,0.957526583224535,1.3240892766043544,0.512,785.0025419876544
sfc0-4,27,0.8225178811699152,1.3172674062661827,0.37800000000000006,1201.1581150514708
sfc0-5,24,0.7415127009153366,1.3140703900717199,0.38400000000000006,1728.050126840337
sfc1-0,34,1.2151135597378016,3.804294732399285,0.544,1591.1548020416672
sfc1-1,21,0.660507520660758,3.7843450624495745,0.504,1530.5818220096148
sfc1-2,37,1.3501690281555057,3.8082091230899096,0.5920000000000001,1295.290927486487
sfc1-3,35,1.2601320492103696,3.805226217955351,0.56,2360.2832276358376
sfc2-1,32,3.1484027905389667,14.641802529804409,5.312000000000001,966.1394966812506
sfc0-0,26,0.7955162227153778,1.316575079690665,0.6240000000000001,848.6688648515623
sfc0-1,30,0.9035230614244938,1.321584484539926,0.48,1004.1035264121625
sfc0-2,21,0.660507520660758,1.3097533117979765,0.3360000000000001,789.7911072307688
sfc0-3,23,0.7145110424607992,1.3122580014169216,0.36800000000000005,1355.1021952173915
sfc0-4,22,0.6875093840062618,1.311565674841404,0.30800000000000005,1080.1572580270267
sfc0-5,19,0.6065042037516832,1.3072486221790314,0.30400000000000005,777.0201192371132
sfc1-0,29,0.9900211123749614,3.7962771439924836,0.4640000000000001,1422.4182233517242
sfc1-1,19,0.6065042037516832,3.781362157315016,0.456,797.2471245851068
sfc1-2,31,1.0800580400973558,3.7992600491270423,0.496,796.9079572222224
sfc1-3,27,0.8999839797616005,3.7932940083555877,0.4320000000000001,1307.594849610295
